Date : 2025-12-06 16:25:53
Directory : d:\VSCode\Flutter\watering_app\lib
Total : 116 files,  16240 codes, 613 comments, 1383 blanks, all 18236 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        116 |     16,240 |        613 |      1,383 |     18,236 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                        | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                           |        116 |     16,240 |        613 |      1,383 |     18,236 |
| . (Files)                                                                                                   |          2 |         97 |         12 |         13 |        122 |
| core                                                                                                        |         34 |      2,885 |        127 |        301 |      3,313 |
| core (Files)                                                                                                |          3 |        199 |         15 |         20 |        234 |
| core\constants                                                                                              |          7 |        195 |          4 |         36 |        235 |
| core\data                                                                                                   |          2 |        123 |          1 |         14 |        138 |
| core\data\models                                                                                            |          2 |        123 |          1 |         14 |        138 |
| core\navigations                                                                                            |          1 |         49 |          0 |          4 |         53 |
| core\network                                                                                                |          6 |        640 |         62 |        103 |        805 |
| core\network (Files)                                                                                        |          5 |        530 |         49 |         90 |        669 |
| core\network\interceptors                                                                                   |          1 |        110 |         13 |         13 |        136 |
| core\utils                                                                                                  |          2 |         48 |          1 |         12 |         61 |
| core\widgets                                                                                                |         13 |      1,631 |         44 |        112 |      1,787 |
| core\widgets (Files)                                                                                        |         10 |      1,434 |         44 |         97 |      1,575 |
| core\widgets\icons                                                                                          |          1 |         17 |          0 |          4 |         21 |
| core\widgets\text_form_field                                                                                |          2 |        180 |          0 |         11 |        191 |
| features                                                                                                    |         78 |     13,151 |        473 |      1,062 |     14,686 |
| features\authentication                                                                                     |         17 |      3,756 |        162 |        300 |      4,218 |
| features\authentication\data                                                                                |          3 |        329 |         10 |         34 |        373 |
| features\authentication\data\models                                                                         |          1 |         49 |          0 |          6 |         55 |
| features\authentication\data\source                                                                         |          2 |        280 |         10 |         28 |        318 |
| features\authentication\domain                                                                              |          3 |        221 |          8 |         25 |        254 |
| features\authentication\domain\repository                                                                   |          3 |        221 |          8 |         25 |        254 |
| features\authentication\presentation                                                                        |          8 |      2,848 |        117 |        190 |      3,155 |
| features\authentication\presentation\screens                                                                |          8 |      2,848 |        117 |        190 |      3,155 |
| features\authentication\providers                                                                           |          3 |        358 |         27 |         51 |        436 |
| features\devices                                                                                            |         23 |      3,533 |        168 |        282 |      3,983 |
| features\devices\data                                                                                       |          4 |        498 |          2 |         34 |        534 |
| features\devices\data\enums                                                                                 |          1 |          4 |          2 |          4 |         10 |
| features\devices\data\models                                                                                |          2 |         96 |          0 |         11 |        107 |
| features\devices\data\source                                                                                |          1 |        398 |          0 |         19 |        417 |
| features\devices\domain                                                                                     |          3 |        282 |          0 |         19 |        301 |
| features\devices\domain\repository                                                                          |          3 |        282 |          0 |         19 |        301 |
| features\devices\presentation                                                                               |          8 |      2,109 |         98 |        124 |      2,331 |
| features\devices\presentation\screens                                                                       |          5 |      1,610 |         89 |         99 |      1,798 |
| features\devices\presentation\widgets                                                                       |          3 |        499 |          9 |         25 |        533 |
| features\devices\providers                                                                                  |          8 |        644 |         68 |        105 |        817 |
| features\devices\providers\all_devices                                                                      |          3 |        248 |          6 |         40 |        294 |
| features\devices\providers\device                                                                           |          5 |        396 |         62 |         65 |        523 |
| features\groups                                                                                             |         19 |      3,267 |         67 |        271 |      3,605 |
| features\groups\data                                                                                        |          2 |        520 |          0 |         27 |        547 |
| features\groups\data\models                                                                                 |          1 |         83 |          0 |          8 |         91 |
| features\groups\data\source                                                                                 |          1 |        437 |          0 |         19 |        456 |
| features\groups\domain                                                                                      |          3 |        296 |          0 |         22 |        318 |
| features\groups\domain\repository                                                                           |          3 |        296 |          0 |         22 |        318 |
| features\groups\presentation                                                                                |          7 |      1,890 |         41 |        140 |      2,071 |
| features\groups\presentation\screens                                                                        |          5 |      1,262 |         24 |         90 |      1,376 |
| features\groups\presentation\widgets                                                                        |          2 |        628 |         17 |         50 |        695 |
| features\groups\providers                                                                                   |          7 |        561 |         26 |         82 |        669 |
| features\groups\providers\all_groups                                                                        |          3 |        175 |          9 |         30 |        214 |
| features\groups\providers\group                                                                             |          4 |        386 |         17 |         52 |        455 |
| features\home                                                                                               |         19 |      2,595 |         76 |        209 |      2,880 |
| features\home\data                                                                                          |          2 |        129 |          0 |         11 |        140 |
| features\home\data\models                                                                                   |          1 |         44 |          0 |          5 |         49 |
| features\home\data\source                                                                                   |          1 |         85 |          0 |          6 |         91 |
| features\home\domain                                                                                        |          3 |         66 |          0 |         10 |         76 |
| features\home\presentation                                                                                  |         12 |      2,297 |         73 |        164 |      2,534 |
