"filename", "language", "Dart", "comment", "blank", "total"
"d:\VSCode\Flutter\watering_app\lib\core\constants\app_strings.dart", "Dart", 1, 0, 1, 2
"d:\VSCode\Flutter\watering_app\lib\core\screens\webview_screen.dart", "Dart", 207, 9, 17, 233
"d:\VSCode\Flutter\watering_app\lib\features\devices\presentation\widgets\add_new_device_stepper.dart", "Dart", 478, 26, 33, 537
"d:\VSCode\Flutter\watering_app\lib\features\groups\presentation\widgets\add_or_edit_group.dart", "Dart", 11, 0, 0, 11
"d:\VSCode\Flutter\watering_app\lib\features\home\presentation\screens\articles_screen.dart", "Dart", 1, 0, 0, 1
"d:\VSCode\Flutter\watering_app\lib\features\home\presentation\screens\home_screen.dart", "Dart", 1, 0, 0, 1
"d:\VSCode\Flutter\watering_app\lib\features\home\presentation\screens\webview_screen.dart", "Dart", -66, -2, -7, -75
"d:\VSCode\Flutter\watering_app\lib\theme\styles.dart", "Dart", 5, 0, -1, 4
"d:\VSCode\Flutter\watering_app\lib\theme\theme.dart", "Dart", 6, 0, 0, 6
"Total", "-", 644, 33, 43, 720
