"filename", "language", "Dart", "comment", "blank", "total"
"d:\VSCode\Flutter\watering_app\lib\core\app.dart", "Dart", 25, 3, 3, 31
"d:\VSCode\Flutter\watering_app\lib\core\app_lifecycle_observer.dart", "Dart", 51, 11, 9, 71
"d:\VSCode\Flutter\watering_app\lib\core\constants\api_path.dart", "Dart", 56, 4, 9, 69
"d:\VSCode\Flutter\watering_app\lib\core\constants\api_strings.dart", "Dart", 24, 0, 8, 32
"d:\VSCode\Flutter\watering_app\lib\core\constants\app_assets.dart", "Dart", 7, 0, 1, 8
"d:\VSCode\Flutter\watering_app\lib\core\constants\app_colors.dart", "Dart", 48, 0, 2, 50
"d:\VSCode\Flutter\watering_app\lib\core\constants\app_strings.dart", "Dart", 11, 0, 3, 14
"d:\VSCode\Flutter\watering_app\lib\core\constants\shared_preference_key.dart", "Dart", 8, 0, 0, 8
"d:\VSCode\Flutter\watering_app\lib\core\constants\stomp_path.dart", "Dart", 15, 0, 7, 22
"d:\VSCode\Flutter\watering_app\lib\core\data\models\history_watering_model.dart", "Dart", 30, 0, 6, 36
"d:\VSCode\Flutter\watering_app\lib\core\data\models\schedule_model.dart", "Dart", 93, 1, 8, 102
"d:\VSCode\Flutter\watering_app\lib\core\main_scaffold.dart", "Dart", 119, 2, 8, 129
"d:\VSCode\Flutter\watering_app\lib\core\navigations\transitions.dart", "Dart", 49, 0, 4, 53
"d:\VSCode\Flutter\watering_app\lib\core\network\auth_dio_network_service.dart", "Dart", 74, 1, 6, 81
"d:\VSCode\Flutter\watering_app\lib\core\network\dio_network_service.dart", "Dart", 134, 3, 9, 146
"d:\VSCode\Flutter\watering_app\lib\core\network\interceptors\auth_interceptor.dart", "Dart", 101, 11, 13, 125
"d:\VSCode\Flutter\watering_app\lib\core\network\network_service_provider.dart", "Dart", 33, 5, 6, 44
"d:\VSCode\Flutter\watering_app\lib\core\network\stomp_service.dart", "Dart", 253, 35, 62, 350
"d:\VSCode\Flutter\watering_app\lib\core\network\stomp_service_provider.dart", "Dart", 5, 0, 1, 6
"d:\VSCode\Flutter\watering_app\lib\core\widgets\bottom_nav_bar.dart", "Dart", 90, 10, 4, 104
"d:\VSCode\Flutter\watering_app\lib\core\widgets\custom_app_bar.dart", "Dart", 89, 1, 5, 95
"d:\VSCode\Flutter\watering_app\lib\core\widgets\custom_circular_progress.dart", "Dart", 25, 0, 4, 29
"d:\VSCode\Flutter\watering_app\lib\core\widgets\custom_fab.dart", "Dart", 96, 0, 4, 100
"d:\VSCode\Flutter\watering_app\lib\core\widgets\custom_snack_bar.dart", "Dart", 76, 0, 2, 78
