Date : 2025-12-01 13:33:46
Directory : d:\VSCode\Flutter\watering_app\lib
Total : 113 files,  15225 codes, 571 comments, 1314 blanks, all 17110 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        113 |     15,225 |        571 |      1,314 |     17,110 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                        | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                           |        113 |     15,225 |        571 |      1,314 |     17,110 |
| . (Files)                                                                                                   |          2 |         97 |         12 |         13 |        122 |
| core                                                                                                        |         33 |      2,841 |        122 |        297 |      3,260 |
| core (Files)                                                                                                |          3 |        195 |         15 |         20 |        230 |
| core\constants                                                                                              |          7 |        189 |          4 |         35 |        228 |
| core\data                                                                                                   |          2 |        123 |          1 |         14 |        138 |
| core\data\models                                                                                            |          2 |        123 |          1 |         14 |        138 |
| core\navigations                                                                                            |          1 |         49 |          0 |          4 |         53 |
| core\network                                                                                                |          6 |        617 |         57 |        102 |        776 |
| core\network (Files)                                                                                        |          5 |        516 |         46 |         89 |        651 |
| core\network\interceptors                                                                                   |          1 |        101 |         11 |         13 |        125 |
| core\utils                                                                                                  |          1 |         41 |          1 |         10 |         52 |
| core\widgets                                                                                                |         13 |      1,627 |         44 |        112 |      1,783 |
| core\widgets (Files)                                                                                        |         10 |      1,433 |         44 |         97 |      1,574 |
| core\widgets\icons                                                                                          |          1 |         17 |          0 |          4 |         21 |
| core\widgets\text_form_field                                                                                |          2 |        177 |          0 |         11 |        188 |
| features                                                                                                    |         76 |     12,180 |        436 |        997 |     13,613 |
| features\authentication                                                                                     |         15 |      2,820 |        125 |        235 |      3,180 |
| features\authentication\data                                                                                |          3 |        296 |          4 |         29 |        329 |
| features\authentication\data\models                                                                         |          1 |         49 |          0 |          6 |         55 |
| features\authentication\data\source                                                                         |          2 |        247 |          4 |         23 |        274 |
| features\authentication\domain                                                                              |          3 |        200 |          7 |         21 |        228 |
| features\authentication\domain\repository                                                                   |          3 |        200 |          7 |         21 |        228 |
| features\authentication\presentation                                                                        |          7 |      2,055 |         94 |        149 |      2,298 |
| features\authentication\presentation\screens                                                                |          7 |      2,055 |         94 |        149 |      2,298 |
| features\authentication\providers                                                                           |          2 |        269 |         20 |         36 |        325 |
| features\devices                                                                                            |         23 |      3,523 |        168 |        281 |      3,972 |
| features\devices\data                                                                                       |          4 |        497 |          2 |         34 |        533 |
| features\devices\data\enums                                                                                 |          1 |          4 |          2 |          4 |         10 |
| features\devices\data\models                                                                                |          2 |         96 |          0 |         11 |        107 |
| features\devices\data\source                                                                                |          1 |        397 |          0 |         19 |        416 |
| features\devices\domain                                                                                     |          3 |        282 |          0 |         19 |        301 |
| features\devices\domain\repository                                                                          |          3 |        282 |          0 |         19 |        301 |
| features\devices\presentation                                                                               |          8 |      2,102 |         98 |        124 |      2,324 |
| features\devices\presentation\screens                                                                       |          5 |      1,604 |         89 |         99 |      1,792 |
| features\devices\presentation\widgets                                                                       |          3 |        498 |          9 |         25 |        532 |
| features\devices\providers                                                                                  |          8 |        642 |         68 |        104 |        814 |
| features\devices\providers\all_devices                                                                      |          3 |        247 |          6 |         40 |        293 |
| features\devices\providers\device                                                                           |          5 |        395 |         62 |         64 |        521 |
| features\groups                                                                                             |         19 |      3,250 |         67 |        272 |      3,589 |
| features\groups\data                                                                                        |          2 |        519 |          0 |         27 |        546 |
| features\groups\data\models                                                                                 |          1 |         83 |          0 |          8 |         91 |
| features\groups\data\source                                                                                 |          1 |        436 |          0 |         19 |        455 |
| features\groups\domain                                                                                      |          3 |        296 |          0 |         22 |        318 |
| features\groups\domain\repository                                                                           |          3 |        296 |          0 |         22 |        318 |
| features\groups\presentation                                                                                |          7 |      1,883 |         41 |        140 |      2,064 |
| features\groups\presentation\screens                                                                        |          5 |      1,256 |         24 |         90 |      1,370 |
| features\groups\presentation\widgets                                                                        |          2 |        627 |         17 |         50 |        694 |
| features\groups\providers                                                                                   |          7 |        552 |         26 |         83 |        661 |
| features\groups\providers\all_groups                                                                        |          3 |        174 |          9 |         30 |        213 |
| features\groups\providers\group                                                                             |          4 |        378 |         17 |         53 |        448 |
| features\home                                                                                               |         19 |      2,587 |         76 |        209 |      2,872 |
| features\home\data                                                                                          |          2 |        128 |          0 |         11 |        139 |
| features\home\data\models                                                                                   |          1 |         44 |          0 |          5 |         49 |
| features\home\data\source                                                                                   |          1 |         84 |          0 |          6 |         90 |
| features\home\domain                                                                                        |          3 |         66 |          0 |         10 |         76 |
| features\home\presentation                                                                                  |         12 |      2,290 |         73 |        164 |      2,527 |
| features\home\presentation\screens                                                                          |          5 |      1,196 |         21 |         70 |      1,287 |
| features\home\presentation\widgets                                                                          |          7 |      1,094 |         52 |         94 |      1,240 |
| features\home\providers                                                                                     |          2 |        103 |          3 |         24 |        130 |
| theme                                                                                                       |          2 |        107 |          1 |          7 |        115 |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                    | language | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\VSCode\Flutter\watering_app\lib\core\app.dart                                                            | Dart     |         25 |          3 |          3 |         31 |
| d:\VSCode\Flutter\watering_app\lib\core\app_lifecycle_observer.dart                                         | Dart     |         51 |         10 |          9 |         70 |
| d:\VSCode\Flutter\watering_app\lib\core\constants\api_path.dart                                             | Dart     |         64 |          4 |         11 |         79 |
| d:\VSCode\Flutter\watering_app\lib\core\constants\api_strings.dart                                          | Dart     |         24 |          0 |          8 |         32 |
| d:\VSCode\Flutter\watering_app\lib\core\constants\app_assets.dart                                           | Dart     |         18 |          0 |          4 |         22 |
| d:\VSCode\Flutter\watering_app\lib\core\constants\app_colors.dart                                           | Dart     |         49 |          0 |          2 |         51 |
| d:\VSCode\Flutter\watering_app\lib\core\constants\app_strings.dart                                          | Dart     |         11 |          0 |          3 |         14 |
| d:\VSCode\Flutter\watering_app\lib\core\constants\shared_preference_key.dart                                | Dart     |          8 |          0 |          0 |          8 |
| d:\VSCode\Flutter\watering_app\lib\core\constants\stomp_path.dart                                           | Dart     |         15 |          0 |          7 |         22 |
| d:\VSCode\Flutter\watering_app\lib\core\data\models\history_watering_model.dart                             | Dart     |         30 |          0 |          6 |         36 |
| d:\VSCode\Flutter\watering_app\lib\core\data\models\schedule_model.dart                                     | Dart     |         93 |          1 |          8 |        102 |
| d:\VSCode\Flutter\watering_app\lib\core\main_scaffold.dart                                                  | Dart     |        119 |          2 |          8 |        129 |
| d:\VSCode\Flutter\watering_app\lib\core\navigations\transitions.dart                                        | Dart     |         49 |          0 |          4 |         53 |
| d:\VSCode\Flutter\watering_app\lib\core\network\auth_dio_network_service.dart                               | Dart     |         74 |          1 |          6 |         81 |
| d:\VSCode\Flutter\watering_app\lib\core\network\dio_network_service.dart                                    | Dart     |        134 |          3 |          9 |        146 |
| d:\VSCode\Flutter\watering_app\lib\core\network\interceptors\auth_interceptor.dart                          | Dart     |        101 |         11 |         13 |        125 |
| d:\VSCode\Flutter\watering_app\lib\core\network\network_service_provider.dart                               | Dart     |         50 |          7 |         11 |         68 |
| d:\VSCode\Flutter\watering_app\lib\core\network\stomp_service.dart                                          | Dart     |        253 |         35 |         62 |        350 |
| d:\VSCode\Flutter\watering_app\lib\core\network\stomp_service_provider.dart                                 | Dart     |          5 |          0 |          1 |          6 |
| d:\VSCode\Flutter\watering_app\lib\core\utils\notification_service.dart                                     | Dart     |         41 |          1 |         10 |         52 |
| d:\VSCode\Flutter\watering_app\lib\core\widgets\bottom_nav_bar.dart                                         | Dart     |         90 |         10 |          4 |        104 |
| d:\VSCode\Flutter\watering_app\lib\core\widgets\custom_app_bar.dart                                         | Dart     |         89 |          1 |          5 |         95 |
| d:\VSCode\Flutter\watering_app\lib\core\widgets\custom_circular_progress.dart                               | Dart     |         25 |          0 |          4 |         29 |
| d:\VSCode\Flutter\watering_app\lib\core\widgets\custom_fab.dart                                             | Dart     |         96 |          0 |          4 |        100 |
| d:\VSCode\Flutter\watering_app\lib\core\widgets\custom_snack_bar.dart                                       | Dart     |         76 |          0 |          2 |         78 |
| d:\VSCode\Flutter\watering_app\lib\core\widgets\edit_schedule_sheet.dart                                    | Dart     |        490 |          7 |         30 |        527 |
| d:\VSCode\Flutter\watering_app\lib\core\widgets\history_watering_data_table.dart                            | Dart     |         65 |          0 |          9 |         74 |
| d:\VSCode\Flutter\watering_app\lib\core\widgets\icons\back_icon.dart                                        | Dart     |         17 |          0 |          4 |         21 |
| d:\VSCode\Flutter\watering_app\lib\core\widgets\schedule_list_item.dart                                     | Dart     |        200 |         10 |         16 |        226 |
| d:\VSCode\Flutter\watering_app\lib\core\widgets\search_bar.dart                                             | Dart     |        138 |          9 |         14 |        161 |
| d:\VSCode\Flutter\watering_app\lib\core\widgets\sort_button.dart                                            | Dart     |        164 |          7 |          9 |        180 |
| d:\VSCode\Flutter\watering_app\lib\core\widgets\text_form_field\normal_text_form_field.dart                 | Dart     |        104 |          0 |          4 |        108 |
| d:\VSCode\Flutter\watering_app\lib\core\widgets\text_form_field\password_text_form_field.dart               | Dart     |         73 |          0 |          7 |         80 |
| d:\VSCode\Flutter\watering_app\lib\features\authentication\data\models\user_model.dart                      | Dart     |         49 |          0 |          6 |         55 |
| d:\VSCode\Flutter\watering_app\lib\features\authentication\data\source\auth_local.dart                      | Dart     |         41 |          0 |         12 |         53 |
| d:\VSCode\Flutter\watering_app\lib\features\authentication\data\source\auth_remote.dart                     | Dart     |        206 |          4 |         11 |        221 |
| d:\VSCode\Flutter\watering_app\lib\features\authentication\domain\repository\auth_repository.dart           | Dart     |         25 |          0 |          2 |         27 |
| d:\VSCode\Flutter\watering_app\lib\features\authentication\domain\repository\auth_repository_impl.dart      | Dart     |        161 |          7 |         17 |        185 |
| d:\VSCode\Flutter\watering_app\lib\features\authentication\domain\repository\auth_repository_provider.dart  | Dart     |         14 |          0 |          2 |         16 |
| d:\VSCode\Flutter\watering_app\lib\features\authentication\presentation\screens\account_screen.dart         | Dart     |        229 |         51 |          9 |        289 |
| d:\VSCode\Flutter\watering_app\lib\features\authentication\presentation\screens\change_password_screen.dart | Dart     |        424 |         10 |         33 |        467 |
| d:\VSCode\Flutter\watering_app\lib\features\authentication\presentation\screens\forgot_password_screen.dart | Dart     |        335 |          5 |         34 |        374 |
| d:\VSCode\Flutter\watering_app\lib\features\authentication\presentation\screens\login_screen.dart           | Dart     |        219 |         13 |         10 |        242 |
| d:\VSCode\Flutter\watering_app\lib\features\authentication\presentation\screens\new_password_screen.dart    | Dart     |        231 |          4 |         21 |        256 |
| d:\VSCode\Flutter\watering_app\lib\features\authentication\presentation\screens\signup_screen.dart          | Dart     |        175 |          0 |         11 |        186 |
| d:\VSCode\Flutter\watering_app\lib\features\authentication\presentation\screens\verify_email_screen.dart    | Dart     |        442 |         11 |         31 |        484 |
| d:\VSCode\Flutter\watering_app\lib\features\authentication\providers\auth_provider.dart                     | Dart     |        178 |         20 |         24 |        222 |
| d:\VSCode\Flutter\watering_app\lib\features\authentication\providers\auth_state.dart                        | Dart     |         91 |          0 |         12 |        103 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\data\enums\devices_enums.dart                           | Dart     |          4 |          2 |          4 |         10 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\data\models\device_model.dart                           | Dart     |         67 |          0 |          6 |         73 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\data\models\history_sensor_model.dart                   | Dart     |         29 |          0 |          5 |         34 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\data\source\device_remote.dart                          | Dart     |        397 |          0 |         19 |        416 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\domain\repository\device_repository.dart                | Dart     |         45 |          0 |          2 |         47 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\domain\repository\device_repository_impl.dart           | Dart     |        225 |          0 |         15 |        240 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\domain\repository\device_repository_provider.dart       | Dart     |         12 |          0 |          2 |         14 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\presentation\screens\all_devices_screen.dart            | Dart     |        398 |          9 |         29 |        436 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\presentation\screens\analytics_tab_screen.dart          | Dart     |        467 |         54 |         17 |        538 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\presentation\screens\control_tab_screen.dart            | Dart     |        357 |         22 |         30 |        409 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\presentation\screens\device_detail_screen.dart          | Dart     |        137 |          4 |          8 |        149 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\presentation\screens\schedule_tab_screen.dart           | Dart     |        245 |          0 |         15 |        260 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\presentation\widgets\add_new_device.dart                | Dart     |        145 |          1 |         11 |        157 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\presentation\widgets\device_grid_item.dart              | Dart     |        353 |          8 |         13 |        374 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\presentation\widgets\edit_device_dialog.dart            | Dart     |          0 |          0 |          1 |          1 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\providers\all_devices\devices_provider.dart             | Dart     |         54 |          0 |          7 |         61 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\providers\all_devices\devices_state.dart                | Dart     |         32 |          1 |          8 |         41 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\providers\all_devices\realtime_devices_provider.dart    | Dart     |        161 |          5 |         25 |        191 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\providers\device\device_provider.dart                   | Dart     |        116 |          7 |         18 |        141 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\providers\device\device_state.dart                      | Dart     |         40 |          0 |          8 |         48 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\providers\device\get_history_provider.dart              | Dart     |         78 |          3 |         11 |         92 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\providers\device\realtime_device_provider.dart          | Dart     |          0 |         43 |          6 |         49 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\providers\device\schedule_provider.dart                 | Dart     |        161 |          9 |         21 |        191 |
| d:\VSCode\Flutter\watering_app\lib\features\groups\data\models\group_model.dart                             | Dart     |         83 |          0 |          8 |         91 |
| d:\VSCode\Flutter\watering_app\lib\features\groups\data\source\group_remote.dart                            | Dart     |        436 |          0 |         19 |        455 |
| d:\VSCode\Flutter\watering_app\lib\features\groups\domain\repository\group_repository.dart                  | Dart     |         43 |          0 |          2 |         45 |
| d:\VSCode\Flutter\watering_app\lib\features\groups\domain\repository\group_repository_impl.dart             | Dart     |        241 |          0 |         16 |        257 |
| d:\VSCode\Flutter\watering_app\lib\features\groups\domain\repository\group_repository_provider.dart         | Dart     |         12 |          0 |          4 |         16 |
| d:\VSCode\Flutter\watering_app\lib\features\groups\presentation\screens\all_groups_screen.dart              | Dart     |        285 |          3 |         25 |        313 |
| d:\VSCode\Flutter\watering_app\lib\features\groups\presentation\screens\group_control_tab_screen.dart       | Dart     |        344 |         17 |         26 |        387 |
| d:\VSCode\Flutter\watering_app\lib\features\groups\presentation\screens\group_detail_screen.dart            | Dart     |        150 |          1 |         12 |        163 |
